Verse ID,Meter,Sanskrit Text,Condition Name,File Name,File Size (KB),Measured Duration (s),Generation Status,Gemini Prompt Sent,VERIFICATION: Meter Rhythm (1-5),VERIFICATION: Voice Naturalness (1-5),VERIFICATION: Visarga Echo Pronounced (Y/N),VERIFICATION: Pauses Inside Compounds (Y/N),VERIFICATION: Listener Notes
"1","Anuṣṭubh","धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः। मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय॥","baseline","verse_1_baseline.wav","536.29","11.44","success","Read this Sanskrit text out loud:

धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः। मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय॥",,,,,
"1","Anuṣṭubh","धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः। मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय॥","formatA","verse_1_formatA.wav","601.92","12.84","success","Read this Sanskrit text in a traditional, monotone Anuṣṭubh chanting style. Maintain a steady tempo of 86 BPM. Hold all heavy (guru) syllables roughly twice as long as light (laghu) syllables.  Pronounce visargas with a gentle echo. Speak ONLY the Sanskrit text below:

धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः। मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय॥",,,,,
"1","Anuṣṭubh","धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः। मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय॥","formatB","verse_1_formatB.wav","682.54","14.56","success","Read this Sanskrit text following the inline syllable-level brackets. A bracket '[G:1]' indicates a Guru (heavy) syllable, while '[L:1]' indicates a Laghu (light) syllable. Do not read the brackets or symbols out loud. Read ONLY the Sanskrit syllables:

ध[G:1]र्म[G:1]क्षे[G:1]त्रे[G:1]कु[L:1]रु[G:1]क्षे[G:1]त्रे[G:1]स[L:1]म[L:1]वे[G:1]ता[G:1]यु[L:1]यु[G:1]त्स[L:1]वः[G:1]मा[G:1]म[L:1]काः[G:1]पा[G:1]ण्ड[L:1]वा[G:1]श्चै[G:1]व[L:1]कि[L:1]म[L:1]कु[G:1]र्व[L:1]त[L:1]स[G:1]ञ्ज[L:1]य[L:1]",,,,,
"1","Anuṣṭubh","धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः। मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय॥","formatC","verse_1_formatC.wav","639.42","13.64","success","Read this Sanskrit text in a steady traditional monotone Anuṣṭubh chanting style. Strict Performance Directives:
- Tempo: 86 BPM
- Duration: Guru is 2x, Laghu is 1x
- Breaks: Under no circumstances pause or breathe inside compound bounds (marked by hyphens). Take clean breaths only at punctuation.

Recite ONLY this text:

धर्मक्षेत्रे-कुरुक्षेत्रे-समवेता-युयुत्सवः।--मामकाः-पाण्डवाश्चैव-किमकुर्वत-सञ्जय॥-",,,,,
"2","Anuṣṭubh","कर्मण्येवाधिकारस्ते मा फलेषु कदाचन। मा कर्मफलहेतुर्भूर्मा ते सङ्गोऽस्त्वकर्मणि॥","baseline","verse_2_baseline.wav","491.29","10.48","success","Read this Sanskrit text out loud:

कर्मण्येवाधिकारस्ते मा फलेषु कदाचन। मा कर्मफलहेतुर्भूर्मा ते सङ्गोऽस्त्वकर्मणि॥",,,,,
"2","Anuṣṭubh","कर्मण्येवाधिकारस्ते मा फलेषु कदाचन। मा कर्मफलहेतुर्भूर्मा ते सङ्गोऽस्त्वकर्मणि॥","formatA","verse_2_formatA.wav","665.67","14.20","success","Read this Sanskrit text in a traditional, monotone Anuṣṭubh chanting style. Maintain a steady tempo of 86 BPM. Hold all heavy (guru) syllables roughly twice as long as light (laghu) syllables.  Pronounce visargas with a gentle echo. Speak ONLY the Sanskrit text below:

कर्मण्येवाधिकारस्ते मा फलेषु कदाचन। मा कर्मफलहेतुर्भूर्मा ते सङ्गोऽस्त्वकर्मणि॥",,,,,
"2","Anuṣṭubh","कर्मण्येवाधिकारस्ते मा फलेषु कदाचन। मा कर्मफलहेतुर्भूर्मा ते सङ्गोऽस्त्वकर्मणि॥","formatB","verse_2_formatB.wav","821.29","17.52","success","Read this Sanskrit text following the inline syllable-level brackets. A bracket '[G:1]' indicates a Guru (heavy) syllable, while '[L:1]' indicates a Laghu (light) syllable. Do not read the brackets or symbols out loud. Read ONLY the Sanskrit syllables:

क[G:1]र्म[G:1]ण्ये[G:1]वा[G:1]धि[L:1]का[G:1]र[G:1]स्ते[G:1]मा[G:1]फ[L:1]ले[G:1]षु[L:1]क[L:1]दा[G:1]च[L:1]न[L:1]मा[G:1]क[G:1]र्म[L:1]फ[L:1]ल[L:1]हे[G:1]तु[G:1]र्भू[G:1]र्मा[G:1]ते[G:1]स[G:1]ङ्गो[G:1]स्त्व[L:1]क[G:1]र्म[L:1]णि[L:1]",,,,,
"2","Anuṣṭubh","कर्मण्येवाधिकारस्ते मा फलेषु कदाचन। मा कर्मफलहेतुर्भूर्मा ते सङ्गोऽस्त्वकर्मणि॥","formatC","verse_2_formatC.wav","675.04","14.40","success","Read this Sanskrit text in a steady traditional monotone Anuṣṭubh chanting style. Strict Performance Directives:
- Tempo: 86 BPM
- Duration: Guru is 2x, Laghu is 1x
- Breaks: Under no circumstances pause or breathe inside compound bounds (marked by hyphens). Take clean breaths only at punctuation.

Recite ONLY this text:

कर्मण्येवाधिकारस्ते-मा-फलेषु-कदाचन।--मा-कर्मफलहेतुर्भूर्मा-ते-सङ्गोऽस्त्वकर्मणि॥-",,,,,
"3","Anuṣṭubh","वासांसि जीर्णानि यथा विहाय नवानि गृह्णाति नरोऽपराणि। तथा शरीराणि विहाय जीर्णान्यन्यानि संयाति नवानि देही॥","baseline","verse_3_baseline.wav","609.42","13.00","success","Read this Sanskrit text out loud:

वासांसि जीर्णानि यथा विहाय नवानि गृह्णाति नरोऽपराणि। तथा शरीराणि विहाय जीर्णान्यन्यानि संयाति नवानि देही॥",,,,,
"3","Anuṣṭubh","वासांसि जीर्णानि यथा विहाय नवानि गृह्णाति नरोऽपराणि। तथा शरीराणि विहाय जीर्णान्यन्यानि संयाति नवानि देही॥","formatA","verse_3_formatA.wav","881.29","18.80","success","Read this Sanskrit text in a traditional, monotone Anuṣṭubh chanting style. Maintain a steady tempo of 86 BPM. Hold all heavy (guru) syllables roughly twice as long as light (laghu) syllables.  Pronounce visargas with a gentle echo. Speak ONLY the Sanskrit text below:

वासांसि जीर्णानि यथा विहाय नवानि गृह्णाति नरोऽपराणि। तथा शरीराणि विहाय जीर्णान्यन्यानि संयाति नवानि देही॥",,,,,
"3","Anuṣṭubh","वासांसि जीर्णानि यथा विहाय नवानि गृह्णाति नरोऽपराणि। तथा शरीराणि विहाय जीर्णान्यन्यानि संयाति नवानि देही॥","formatB","verse_3_formatB.wav","1569.42","33.48","success","Read this Sanskrit text following the inline syllable-level brackets. A bracket '[G:1]' indicates a Guru (heavy) syllable, while '[L:1]' indicates a Laghu (light) syllable. Do not read the brackets or symbols out loud. Read ONLY the Sanskrit syllables:

वा[G:1]सां[G:1]सि[L:1]जी[G:1]र्णा[G:1]नि[L:1]य[L:1]था[G:1]वि[L:1]हा[G:1]य[L:1]न[L:1]वा[G:1]नि[L:1]गृ[G:1]ह्णा[G:1]ति[L:1]न[L:1]रो[G:1]प[L:1]रा[G:1]णि[L:1]त[L:1]था[G:1]श[L:1]री[G:1]रा[G:1]णि[L:1]वि[L:1]हा[G:1]य[L:1]जी[G:1]र्णा[G:1]न्य[G:1]न्या[G:1]नि[L:1]सं[G:1]या[G:1]ति[L:1]न[L:1]वा[G:1]नि[L:1]दे[G:1]ही[G:1]",,,,,
"3","Anuṣṭubh","वासांसि जीर्णानि यथा विहाय नवानि गृह्णाति नरोऽपराणि। तथा शरीराणि विहाय जीर्णान्यन्यानि संयाति नवानि देही॥","formatC","verse_3_formatC.wav","879.42","18.76","success","Read this Sanskrit text in a steady traditional monotone Anuṣṭubh chanting style. Strict Performance Directives:
- Tempo: 86 BPM
- Duration: Guru is 2x, Laghu is 1x
- Breaks: Under no circumstances pause or breathe inside compound bounds (marked by hyphens). Take clean breaths only at punctuation.

Recite ONLY this text:

वासांसि-जीर्णानि-यथा-विहाय-नवानि-गृह्णाति-नरोऽपराणि।--तथा-शरीराणि-विहाय-जीर्णान्यन्यानि-संयाति-नवानि-देही॥-",,,,,
"4","Anuṣṭubh","यदा यदा हि धर्मस्य ग्लानिर्भवति भारत। अभ्युत्थानमधर्मस्य तदात्मानं सृजाम्यहम्॥","baseline","verse_4_baseline.wav","740.67","15.80","success","Read this Sanskrit text out loud:

यदा यदा हि धर्मस्य ग्लानिर्भवति भारत। अभ्युत्थानमधर्मस्य तदात्मानं सृजाम्यहम्॥",,,,,
